,date,meantemp
0,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,17.375
1,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,17.5
2,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,16.25
3,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,16.75
4,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,18.75
5,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,20.0
6,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,18.375
7,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,19.5
8,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,18.125
9,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,17.75
10,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,18.25
11,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,20.5
12,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,21.375
13,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,21.5
14,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,17.625
15,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,19.857143
16,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,20.875
17,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,20.25
18,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,21.125
19,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,22.5
20,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,24.875
21,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,25.125
22,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,24.75
23,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,25.75
24,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,26.625
25,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,28.5
26,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,27.375
27,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,27.0
28,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,25.0
29,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,23.5
30,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,25.25
31,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,26.428572
32,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,28.714285
33,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,24.5
34,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,21.0
35,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,23.571428
36,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,25.0
37,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,23.75
38,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,25.625
39,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,26.0
40,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,27.125
41,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,28.25
42,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,24.375
43,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,24.75
44,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,26.25
45,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966674241,27.625
