,date,meantemp
0,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,28.333334
1,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,29.166666
2,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,31.285715
3,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,32.0
4,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,29.0
5,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,32.0
6,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,32.142857
7,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,30.142857
8,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,31.5
9,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,29.166666
10,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,29.0
11,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,30.0
12,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,31.857143
13,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,32.75
14,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,31.714285
15,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,31.666666
16,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,30.571428
17,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,30.833334
18,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,28.0
19,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,31.0
20,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,29.666666
21,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,30.857143
22,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,31.166666
23,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,31.142857
24,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,30.5
25,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,31.625
26,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,29.666666
27,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,29.25
28,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,29.142857
29,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,29.8
30,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,28.666666
31,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,25.2
32,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,28.333334
33,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,30.285715
34,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,30.75
35,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,28.571428
36,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,28.2
37,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,29.0
38,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,30.0
39,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,28.142857
40,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,26.857143
41,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,28.285715
42,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,29.2
43,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,28.6
44,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,24.833334
45,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,28.5
46,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,29.75
47,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966613105,29.714285
